"","HOUSEID","TRAVDAY","SAMPSTRAT","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","DRVRCNT","CNTTDHH","HHSTATE","HHSTFIPS","NUMADLT","YOUNGCHILD","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","SCRESP","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","RESP_CNT","WEBUSE17","SMPLSRCE","WTHHFIN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"111239",40554469,3,3,1,4,1,11,1,1,1,1,2,1,4,5,4,5,2,1,2,1,2,1,2,6,"GA",13,2,2,2,201702,1,4,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",4,1,2,128.935989833995,"T",5,750,300,150,0,750,300
"111243",40554505,2,1,1,2,2,10,1,1,1,2,5,1,5,5,5,5,2,2,3,3,4,1,1,6,"GA",13,1,0,1,201611,1,7,1,5,1,1,5,1,1,5,3,51,2,2,"12060",2,1,1,277.820843471582,"C",5,7000,1500,3000,5,3000,750
"111249",40554619,3,3,1,2,3,1,2,1,5,4,5,1,2,3,5,5,1,2,3,3,1,1,2,0,"GA",13,1,0,2,201612,1,7,3,1,2,1,1,1,1,5,3,53,3,2,"XXXXX",2,1,2,239.32843863967,"T",40,750,300,350,40,750,300
"111262",40554759,3,3,1,1,2,11,1,1,1,5,5,1,4,5,5,5,2,4,5,5,5,2,1,2,"GA",13,1,0,1,201612,1,1,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,1,54.33859345557,"T",5,1500,300,750,5,1500,300
"111272",40554921,2,3,1,1,1,2,2,5,5,5,5,1,5,5,5,5,1,2,5,5,5,2,1,2,"GA",13,1,0,0,201701,1,1,3,2,2,1,2,1,1,5,3,53,2,2,"XXXXX",1,2,2,46.8614121721721,"T",40,300,300,150,40,300,300
"111279",40555003,4,3,1,3,2,3,1,1,1,4,5,1,5,5,5,5,2,2,3,3,3,1,2,6,"GA",13,3,0,2,201701,1,2,3,1,2,1,1,1,1,5,3,53,97,1,"XXXXX",3,1,2,216.803118385625,"C",40,3000,750,1500,40,1500,300
"111290",40555094,6,4,1,2,2,10,-9,1,-9,-9,-9,1,-9,-9,-9,-9,1,-9,-9,-9,-9,1,2,2,"GA",13,2,0,0,201611,2,10,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,278.144953901802,"R",30,300,50,75,5,50,50
"111301",40555274,5,3,1,4,2,6,1,1,5,-9,-9,1,-9,-9,-9,-9,3,2,3,3,3,1,2,14,"GA",13,2,0,1,201703,2,6,3,3,2,1,2,1,1,5,3,53,3,2,"XXXXX",4,1,2,158.72075003655,"C",40,3000,1500,750,50,3000,1500
"111308",40555405,7,3,1,2,3,10,1,1,1,5,5,1,4,4,5,5,2,2,4,4,4,1,2,8,"GA",13,2,0,0,201701,1,10,3,1,2,4,6,2,1,5,3,53,2,2,"XXXXX",2,1,2,97.0336678142263,"T",20,300,300,150,20,300,50
"111321",40555513,2,3,1,2,2,5,2,1,3,5,4,2,5,4,5,5,1,2,3,5,4,1,2,7,"GA",13,2,0,0,201704,2,10,3,1,2,2,6,1,1,5,3,53,1,2,"XXXXX",2,1,2,105.339462958649,"R",30,300,50,25,30,300,50
